age,education,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,loan_default,proof_submitted_Driving,proof_submitted_PAN,proof_submitted_Passport,proof_submitted_VoterID
40,2,618636,825084,2,2,0,0,0,0,0
43,1,677508,846000,0,0,0,0,0,0,1
47,2,699108,910260,0,0,0,0,0,0,0
47,2,976728,1197336,2,2,0,0,0,0,0
30,2,437868,749100,2,2,1,0,0,0,0
42,1,801228,955200,3,3,1,0,0,0,0
38,1,507360,861876,0,0,1,0,0,0,0
48,1,703908,801000,4,2,1,0,0,0,0
38,2,648936,825528,0,0,0,0,0,0,0
33,2,630936,871632,0,0,0,0,0,0,1
29,2,675108,821412,0,0,1,0,0,0,0
41,1,616596,805560,7.5,5,0,0,0,0,0
45,2,445668,888000,2,0,0,0,0,0,0
46,2,469668,763800,0,0,0,0,0,0,0
37,2,615636,882216,0,0,0,0,0,0,0
32,1,668556,850500,2,2,1,0,0,0,0
29,2,514728,813168,0,0,0,0,0,0,0
44,1,624936,814800,2,2,0,0,0,0,0
38,2,715188,1197336,0,0,1,0,0,0,1
37,1,968232,1197336,3,0,1,0,0,0,0
41,2,338424,1082400,7.5,5,1,0,0,0,0
47,2,976728,1197336,0,0,0,0,0,0,1
47,2,790584,896592,0,0,0,0,0,0,0
47,2,976728,1197336,0,0,1,0,0,0,0
49,1,648156,748452,4,2,1,0,0,0,1
32,2,636936,833244,2,2,1,0,0,0,0
29,2,640800,815460,0,0,1,0,0,0,0
36,2,455268,873984,0,0,0,0,0,0,1
31,1,338424,818808,2,2,0,0,0,0,0
37,1,520728,666000,6,4,1,0,0,0,0
40,2,649356,805284,4,0,0,0,0,0,0
31,1,651108,790776,4,4,0,0,0,0,0
29,2,976728,1197336,0,0,0,0,0,0,0
41,1,685356,820812,3,2,1,0,0,0,0
27,1,527028,813636,0,0,1,0,0,0,0
35,1,695532,868104,7.5,3,0,0,0,0,0
38,1,780276,868608,7.5,5,0,0,0,0,0
49,2,676956,817560,0,0,1,0,0,0,0
32,2,568188,776400,0,0,1,0,0,0,0
46,2,696156,998880,0,0,1,0,1,0,0
43,2,722556,997620,2,2,0,0,0,0,0
49,2,976728,1197336,0,0,1,0,0,0,1
37,1,338424,902400,4,3,1,0,0,0,0
37,2,508728,1197336,2,2,0,0,0,0,0
46,2,865476,1044000,0,0,0,0,0,0,0
45,2,640716,924156,0,0,1,0,0,0,0
46,2,633636,1076676,2,0,0,0,0,0,0
47,2,749124,915960,3,2,0,0,0,0,0
49,2,619836,808872,7.5,5,0,0,0,0,0
40,2,571740,877980,6,3,1,0,0,0,1
30,2,767364,889224,0,0,0,0,0,0,0
38,2,630636,816012,7.5,3,1,0,0,0,0
33,1,976728,1197336,0,0,1,1,0,0,0
44,1,496428,805380,0,0,1,0,0,0,0
32,2,867732,1197336,0,0,1,0,1,0,0
46,2,672108,874128,3,3,1,0,0,0,0
31,2,700956,906000,6,2,1,0,0,0,0
26,1,567564,835824,0,0,0,0,0,0,1
28,2,622536,807840,0,0,0,0,0,0,0
33,2,803628,1197336,0,0,0,0,0,0,0
31,1,657108,798000,3,0,0,0,0,0,0
42,2,518520,759024,0,0,0,0,0,0,0
35,2,682668,841272,2,2,1,0,0,0,0
43,2,818676,1197336,7.5,5,1,0,0,0,0
36,2,348348,558240,2,2,1,0,0,0,0
40,2,778584,963816,2,2,1,0,0,0,0
32,1,690708,807000,0,0,1,0,0,0,0
45,2,338424,758352,7.5,4,1,0,0,0,1
47,2,716556,835848,0,0,0,0,0,0,0
43,2,737364,843396,0,0,0,0,0,0,0
41,2,413268,558240,0,0,0,0,0,0,1
36,2,930948,1197336,7.5,0,0,0,0,0,0
46,2,767364,919440,3,2,1,0,0,0,0
37,2,639636,749184,0,0,0,0,0,0,0
31,1,755364,976272,0,0,1,0,0,0,0
46,2,642936,837600,6,2,1,0,0,0,1
28,1,745764,936000,2,2,0,0,0,0,0
31,2,566988,733044,7.5,3,0,0,0,0,0
47,1,770028,880068,0,0,1,0,0,0,1
26,2,690108,903744,0,0,1,0,1,0,0
24,1,654756,819996,0,0,1,0,0,0,0
38,2,612936,935160,2,2,1,0,0,0,0
50,2,755364,1155420,0,0,0,0,0,0,0
39,2,716556,826956,7.5,4,0,0,0,0,0
36,2,559980,884016,3,2,0,0,0,0,0
45,1,612936,795336,4,4,1,0,0,0,0
40,2,712956,1197336,7.5,5,1,0,0,0,0
50,2,672156,864000,7.5,5,1,0,0,0,0
28,1,686556,932484,0,0,1,0,0,0,0
29,1,976728,1197336,7.5,4,0,0,0,0,0
32,2,655908,791376,7.5,3,0,0,0,0,0
32,2,494520,740280,0,0,0,0,0,0,0
45,2,817092,1104960,0,0,0,0,0,0,0
34,1,711108,909300,6,4,0,0,0,0,0
41,1,767364,928164,7.5,5,0,0,0,0,0
26,1,613236,813720,0,0,0,0,0,0,0
26,1,897012,1197336,0,0,1,0,0,0,0
29,2,429540,848280,0,0,0,0,0,0,0
34,2,436788,745800,0,0,0,0,0,0,0
32,1,882120,1197336,0,0,0,0,0,0,0
43,1,651108,800964,0,0,0,0,0,0,0
36,2,615636,825492,7.5,4,0,0,0,0,0
48,2,591636,775200,0,0,0,0,0,0,0
49,2,574188,776232,7.5,5,1,0,0,0,0
49,2,767364,867600,3,0,1,0,0,0,0
48,2,703356,829668,4,2,0,0,0,0,0
29,2,345372,919896,0,0,0,0,0,0,0
36,2,889464,1197336,0,0,0,0,0,0,0
28,2,807228,1197336,7,4,0,0,0,0,0
48,1,560988,780036,0,0,1,0,0,0,0
23,2,976728,1197336,2,2,0,0,0,0,0
31,1,528588,791160,0,0,0,0,0,0,0
34,1,502128,774300,2,0,0,0,0,0,0
28,1,565188,1080600,0,0,1,0,0,0,0
34,1,976728,1197336,2,2,0,0,0,0,0
44,1,639348,791820,0,0,0,0,0,0,0
31,2,496728,844800,0,0,0,0,0,0,0
29,2,722556,875520,0,0,0,0,0,0,0
38,2,486120,715620,0,0,0,0,0,0,0
29,2,976728,1197336,0,0,1,0,0,0,0
28,2,580188,805404,2,2,0,0,0,0,0
29,1,583188,758904,0,0,0,0,0,0,0
41,1,568188,730284,7.5,5,1,0,0,0,0
47,2,623736,745656,0,0,1,0,0,0,0
30,1,608436,812040,0,0,0,0,0,0,0
47,2,691908,793056,0,0,0,0,0,0,1
29,2,626436,885084,0,0,0,0,0,0,0
43,2,593736,819000,0,0,0,0,0,0,0
24,2,776736,1160748,0,0,1,0,0,0,0
48,1,550140,763836,0,0,0,0,0,0,0
50,1,461688,809964,0,0,0,0,0,0,0
26,2,722556,891240,2,0,0,0,0,0,0
33,2,707364,827640,2,0,0,0,0,0,0
39,2,586188,1197336,3,3,0,0,0,0,0
27,1,705108,1005684,2,2,0,0,0,0,0
36,2,687756,909024,2,2,1,0,0,0,0
32,2,853476,1197336,0,0,1,0,0,0,1
40,1,642132,891024,2,2,0,0,0,0,0
44,2,629736,827268,7.5,5,1,0,0,0,0
33,2,684708,858840,0,0,0,0,0,0,0
27,1,767364,933624,3,3,1,0,0,0,0
44,1,824364,993600,7.5,3,1,0,0,0,0
33,2,873804,1197336,3,3,1,0,0,0,1
32,1,603636,853236,3,2,0,0,0,0,0
29,1,649476,832236,0,0,1,0,0,0,0
45,2,544008,794064,0,0,0,0,0,0,0
33,2,615636,793788,0,0,1,0,0,0,0
46,2,698472,856464,2,2,0,0,0,0,0
31,1,725364,899436,2,0,0,0,0,0,0
37,1,757356,863112,7.5,5,0,0,0,0,0
35,2,556188,832800,0,0,1,0,0,0,0
44,2,515928,1197336,4,2,0,0,0,0,0
41,2,633336,869580,3,2,1,0,0,0,0
47,1,859476,1146000,0,0,0,0,0,0,0
25,1,624636,709752,0,0,1,0,0,0,0
41,2,630096,790860,2,2,0,0,0,0,0
35,1,657108,861468,0,0,1,0,0,0,0
33,1,731364,900312,0,0,0,0,0,0,0
47,2,639636,801576,0,0,0,0,0,0,0
34,2,669996,835344,0,0,1,0,0,0,0
33,2,746556,854400,6,2,0,0,0,0,1
37,2,633636,821532,3,2,0,0,0,0,0
34,1,754164,1053600,2,2,0,0,0,0,0
46,1,800028,863424,7.5,5,0,0,0,0,0
35,2,491028,789600,2,2,0,0,0,0,0
44,2,608196,819564,7.5,5,0,0,0,0,0
36,1,637668,815628,7.5,3,1,0,0,0,0
25,1,675108,770376,0,0,0,0,0,0,0
37,2,428100,558240,4,2,0,0,0,0,0
49,2,395808,746256,0,0,1,0,0,0,0
35,1,596436,751524,2,0,0,0,0,0,0
30,1,772584,842616,3,3,1,0,0,0,0
28,2,694308,907152,0,0,1,0,0,0,0
33,2,855804,1197336,2,2,0,0,0,0,0
26,2,674556,894216,0,0,1,0,0,0,0
43,2,639636,946296,0,0,0,0,0,0,0
38,2,627636,785844,3,0,1,0,0,0,0
23,2,572628,990240,0,0,0,0,0,0,0
29,2,675108,812916,0,0,0,0,0,0,1
34,1,578988,799920,0,0,1,0,0,0,0
25,2,660156,909024,3,3,1,0,0,0,1
44,2,613368,845712,0,0,0,0,0,0,0
45,2,389808,757704,3,2,0,0,0,0,0
44,1,736956,845928,7.5,3,1,0,0,0,0
36,2,579396,938880,3,0,0,0,0,0,0
29,2,548220,848052,0,0,0,0,0,0,0
33,2,496728,803892,7.5,5,0,0,0,0,0
27,1,812436,1144632,0,0,1,0,0,0,1
38,2,573276,887904,2,2,1,0,0,0,0
29,2,715164,868128,0,0,1,0,0,0,0
50,1,564588,819468,3,2,0,0,0,0,0
38,1,638436,874152,7.5,5,0,0,0,0,0
41,2,612936,800640,3,2,1,0,0,0,1
46,2,451668,1106820,0,0,0,0,0,0,1
45,2,976728,1197336,7.5,2,0,0,0,0,0
42,1,365184,558240,0,0,1,0,0,0,0
36,2,805584,1197336,0,0,1,0,0,0,0
44,2,457668,1026756,4,3,1,0,0,0,0
41,2,712416,818952,3,0,1,0,0,0,1
27,1,820428,1189080,2,2,0,1,0,0,0
35,1,370092,767304,3,3,0,0,0,0,0
30,1,550740,878724,0,0,0,0,0,0,0
36,2,837804,1197336,0,0,1,0,1,0,0
31,2,532188,1197336,0,0,0,0,0,0,0
40,2,518700,696000,3,2,1,0,0,0,0
46,1,609036,864720,2,2,1,0,0,0,0
33,2,684228,896220,5,5,1,0,0,0,0
41,1,825228,928896,0,0,1,0,0,0,1
46,2,950232,1197336,7.5,5,1,0,0,0,0
34,1,652632,821256,3,0,1,0,0,0,0
27,2,592188,836904,0,0,1,0,0,0,0
25,1,801384,912000,0,0,0,0,0,0,0
43,2,460668,798360,0,0,0,0,0,0,0
29,1,699108,864072,7,5,1,0,0,0,0
47,2,338424,558240,5,2,0,0,0,0,0
36,2,627648,869952,0,0,0,0,0,0,0
48,2,740448,1197336,7.5,5,0,0,0,0,0
40,1,665472,785724,2,2,1,0,0,0,0
46,2,785784,1088052,6,0,1,0,0,0,0
38,2,603636,941892,2,2,0,0,0,0,0
38,2,565740,841680,3,2,0,0,0,0,0
46,2,782028,1197336,5,5,0,0,0,0,0
37,1,720156,851364,0,0,1,0,0,0,0
43,2,674028,821196,0,0,0,0,0,0,0
24,2,592188,1197336,0,0,1,0,0,0,1
47,2,499128,805380,0,0,0,0,0,0,0
31,2,781980,1162668,0,0,1,0,0,0,0
40,1,746556,940200,7.5,2,0,0,0,0,0
44,1,786408,900000,4,3,0,0,0,0,0
31,2,552336,766224,4,2,0,0,0,0,0
41,2,473880,828780,0,0,0,1,0,0,0
38,1,542100,743700,0,0,1,0,0,0,0
33,2,681108,840516,7.5,5,1,0,0,0,0
38,1,639636,866472,0,0,0,0,0,0,0
46,1,648936,825792,5,2,1,0,0,0,0
37,2,745992,1090668,2,0,0,0,0,0,0
28,1,837804,1146000,3,3,0,0,0,0,0
38,2,676956,821040,6,0,0,0,0,0,0
41,2,671316,1098264,0,0,0,0,0,0,1
28,1,658956,862800,0,0,0,0,0,0,0
50,2,365808,873288,0,0,0,0,0,0,0
35,2,478800,649932,0,0,1,0,0,0,0
27,1,663108,846000,3,3,0,0,0,0,0
40,2,636744,864708,0,0,0,0,0,0,0
40,2,618156,811704,0,0,1,0,0,0,0
29,1,586188,709512,3,2,0,0,0,0,0
37,1,475128,703956,0,0,1,1,0,0,0
44,1,776628,908772,7.5,5,1,0,0,0,0
30,2,667068,780540,7.5,5,1,0,0,0,0
32,2,699108,831672,6,3,0,0,0,0,0
47,1,615636,709368,7.5,5,0,0,0,0,0
30,1,814584,950232,0,0,0,0,0,0,0
25,2,950232,1197336,0,0,1,0,0,0,1
37,2,417948,566328,7.5,5,0,0,0,0,0
38,1,790584,900000,6,5,0,0,0,0,0
28,2,609636,919848,0,0,0,0,0,0,1
32,2,354348,726000,0,0,0,0,0,0,0
42,1,659868,860460,7.5,2,1,0,0,0,0
46,2,658548,841476,2,2,1,0,0,0,0
26,1,498168,787152,0,0,0,0,0,0,0
30,1,690156,903108,4,0,0,0,0,0,0
37,2,554100,743976,0,0,1,0,0,0,0
49,1,651108,858816,0,0,0,0,0,0,0
24,2,793200,1127952,2,2,1,0,0,0,0
26,1,976728,1197336,2,0,0,0,0,0,0
27,1,843804,1192440,2,2,0,0,0,0,0
46,2,864876,1114212,0,0,0,0,0,0,0
46,1,569676,793056,0,0,0,0,0,0,0
35,2,731364,1173396,0,0,1,0,0,0,1
37,2,594936,767544,0,0,1,0,0,0,0
35,1,642036,746400,0,0,1,0,0,0,0
39,2,731364,1197336,0,0,0,0,0,0,0
27,1,847476,1021104,0,0,1,0,0,0,0
31,1,615972,934296,7,4,0,0,0,0,0
49,2,623436,881040,7.5,5,1,0,0,0,0
50,2,659676,839172,0,0,0,0,0,0,0
28,1,584988,767208,0,0,1,0,0,0,0
47,2,755364,871140,2,2,1,0,0,0,0
48,2,607548,855912,0,0,0,1,0,0,0
28,2,746556,936000,0,0,0,0,0,0,0
48,2,797784,969792,7.5,5,0,0,0,0,0
25,1,767364,1121136,2,2,0,0,0,0,0
47,2,814584,934752,7.5,2,1,0,0,0,0
43,2,820584,1020000,0,0,1,0,0,0,0
29,1,638136,821832,5,5,0,0,0,0,0
35,1,644436,888360,7.5,5,0,0,0,0,0
44,2,602436,756120,0,0,0,0,0,0,0
31,1,572988,745824,2,2,0,0,0,0,1
41,2,776028,963984,2,2,1,0,0,0,0
29,2,831804,1194396,3,2,0,0,0,0,0
25,1,791028,1058580,0,0,1,0,0,0,0
33,1,484728,699000,2,2,1,0,0,0,0
47,2,556188,771696,4,3,1,0,0,0,0
41,2,527148,853128,7,2,0,0,0,0,0
40,2,864204,990000,2,2,1,0,0,0,0
33,2,519528,781956,7.5,5,0,0,0,0,0
31,2,976728,1197336,2,0,0,0,0,0,0
43,1,461268,744600,0,0,0,0,0,0,0
48,2,642156,748392,5,4,0,0,0,0,1
37,1,359808,805788,7.5,5,0,0,0,0,1
27,2,853476,1167600,0,0,1,0,0,0,0
43,1,484728,693252,2,2,0,0,0,0,0
31,1,521364,879624,0,0,1,0,1,0,0
31,2,724164,837060,0,0,0,0,0,0,0
50,2,633636,714312,2,2,1,0,0,0,0
26,2,603360,962424,0,0,0,0,0,0,1
27,1,708564,809844,3,2,1,0,0,0,0
25,1,484728,754632,0,0,0,0,0,0,0
39,2,698724,982800,0,0,0,0,0,0,0
45,1,632436,768228,7.5,4,0,0,0,0,0
27,1,507768,831768,0,0,0,0,0,0,0
26,1,740640,886200,6,3,0,0,0,0,0
43,2,718452,861516,0,0,0,0,0,0,0
47,2,788028,1083540,0,0,0,0,0,0,0
32,1,639636,1090944,4,3,0,0,0,0,0
36,2,684156,913404,0,0,0,0,0,0,0
45,2,620676,892032,0,0,0,0,0,0,0
28,2,824028,1167816,0,0,0,0,0,0,0
24,2,753564,951120,0,0,0,0,0,0,0
26,1,733200,985080,0,0,0,0,0,0,0
26,1,492372,755172,2,2,1,0,0,0,0
47,1,584988,809748,7,4,0,0,0,0,1
48,2,494328,943752,0,0,0,0,0,0,0
39,1,546588,818796,7.5,5,0,0,0,0,0
33,2,496728,749196,6,3,0,0,0,0,0
29,2,678708,909600,0,0,0,0,0,0,1
44,2,770556,960744,5,5,1,0,0,0,0
29,2,626436,770412,5,4,0,0,0,0,1
48,2,380808,933600,0,0,0,0,0,0,0
44,1,759600,870696,0,0,1,0,0,0,0
49,2,646128,847044,6,3,1,0,0,0,0
35,1,668016,808368,4,4,0,0,0,0,0
25,2,684156,825276,4,4,1,0,0,0,0
40,1,494400,743016,4,0,0,0,0,0,0
37,2,743364,952800,3,2,1,0,0,0,0
30,2,338424,826920,0,0,1,0,0,0,1
28,2,801228,1197336,0,0,1,0,0,0,0
42,2,415932,823344,3,2,0,0,0,0,0
34,1,654156,756000,0,0,0,0,0,0,0
29,2,593736,821472,0,0,1,0,0,0,0
45,2,788628,906000,7.5,2,0,0,0,0,0
46,2,535188,782496,0,0,0,0,0,0,0
34,2,619752,839064,7,3,0,0,1,0,0
31,1,515628,829764,2,2,0,0,0,0,0
25,2,632436,813408,0,0,0,0,0,0,0
49,2,794028,1032000,4,3,0,0,0,0,0
46,2,841476,1197336,2,2,0,0,0,0,0
48,2,719364,872400,6,4,1,0,0,0,0
25,1,624996,728892,0,0,0,0,0,0,0
27,2,504528,881592,3,0,0,0,0,0,0
32,1,621636,1073004,0,0,0,0,0,0,0
43,1,795828,948000,7.5,5,1,0,0,0,0
45,1,688716,816636,6,3,1,0,0,0,0
29,2,746556,1197336,0,0,0,0,0,0,0
23,2,521928,840000,5,3,0,0,0,0,0
42,2,406068,735264,7.5,5,1,0,0,0,0
50,2,653508,816696,0,0,0,0,0,0,0
32,2,519120,802680,2,0,0,0,0,0,0
35,1,699108,856800,7.5,0,0,0,0,0,0
31,2,633336,830868,0,0,1,0,0,0,0
25,2,615636,797904,7,5,1,0,0,0,0
42,1,867804,1063200,7.5,3,0,0,0,0,0
26,2,425268,844668,0,0,0,0,0,0,1
30,1,574188,776136,0,0,1,0,0,0,0
30,2,843804,1197336,0,0,0,0,0,0,1
43,2,660744,787896,6,2,1,0,0,0,0
48,2,482808,652680,5,3,0,0,0,0,0
29,2,642036,841248,0,0,0,0,0,0,1
44,2,924948,1197336,0,0,0,0,0,0,1
40,1,824556,987576,7.5,5,1,0,0,0,0
24,2,606036,783108,3,2,0,0,0,0,0
48,2,624936,933816,0,0,0,0,0,0,1
31,2,754308,987984,2,0,0,0,0,0,0
26,2,687108,833880,0,0,1,0,0,0,0
30,2,401808,738084,3,2,0,0,0,0,0
37,2,792828,977760,2,2,1,0,0,0,0
38,2,824400,1197336,0,0,0,1,0,0,0
39,2,338424,905712,0,0,0,0,0,0,0
25,2,393528,825900,0,0,0,0,0,0,0
36,1,394704,599400,0,0,0,0,0,0,0
46,1,654552,788460,7.5,5,0,0,0,0,0
45,2,716688,927324,4,3,1,1,0,0,0
48,1,881076,1197336,2,2,1,0,0,0,0
30,2,933012,1176852,2,0,0,0,0,0,1
42,1,692724,1197336,7.5,5,0,0,0,0,0
44,2,544188,844608,3,2,0,0,0,0,0
31,2,526728,857928,0,0,1,0,0,0,0
28,2,636936,807420,0,0,0,0,0,0,0
31,1,590988,854160,0,0,1,0,0,0,1
35,2,660156,857616,0,0,1,0,0,0,0
37,2,591276,782820,0,0,0,0,0,0,0
38,2,514728,854856,0,0,0,0,0,0,0
30,2,645636,841488,3,0,0,0,0,0,0
38,1,668556,772572,2,0,0,0,0,0,1
37,2,493728,849552,7.5,5,0,0,0,0,0
37,2,338424,886932,4,2,0,0,0,0,0
35,2,730020,1073532,0,0,0,0,0,0,1
41,2,623736,971700,0,0,0,0,0,0,1
43,1,696180,795420,7.5,5,0,0,0,0,0
26,1,632796,826908,2,0,1,0,0,0,0
25,2,918948,1197336,0,0,0,0,0,0,0
42,2,704496,953544,0,0,0,0,0,0,0
42,2,754800,854400,0,0,0,0,0,0,0
26,2,872604,1197336,0,0,1,0,0,0,0
30,2,477528,783480,0,0,0,0,0,0,0
28,2,743364,1197336,0,0,0,0,0,1,0
42,2,564588,818400,2,2,0,0,0,0,0
37,1,415152,608700,0,0,0,0,0,0,0
26,1,556188,696420,0,0,1,0,0,0,0
26,2,544188,705420,2,0,1,0,0,0,0
30,2,675756,863820,7.5,4,0,0,1,0,0
39,1,559260,737580,4,2,0,0,0,0,0
47,2,690708,851628,0,0,0,0,0,0,0
27,1,771228,996000,0,0,1,0,0,0,0
30,2,663108,944868,4,2,0,0,0,0,0
31,2,579036,974100,0,0,1,1,0,0,0
37,2,696108,894324,4,3,0,0,0,0,0
30,2,656004,790800,7.5,5,0,0,0,0,0
37,2,645636,814200,0,0,0,0,0,0,0
37,2,448980,799380,4,3,0,0,0,0,0
26,2,708156,926604,0,0,0,0,0,0,0
36,1,672516,810120,7.5,0,0,0,0,0,1
25,2,976728,1197336,0,0,1,0,0,0,0
42,1,546588,828000,0,0,0,0,0,0,0
29,2,658956,859848,0,0,1,0,0,0,1
39,2,722556,951348,0,0,0,0,0,0,0
29,1,528000,686400,0,0,0,0,0,0,0
41,1,750156,975600,0,0,0,0,0,0,0
46,1,636936,828240,2,0,1,0,0,0,0
31,1,735396,872016,2,2,1,0,0,0,0
49,2,532188,761496,0,0,0,0,0,0,0
45,2,568188,861240,0,0,1,0,0,0,0
32,1,719364,868092,0,0,0,0,0,0,0
26,2,855804,1197336,0,0,1,0,1,0,0
37,2,667908,829140,3,0,0,0,0,0,0
49,2,544188,838032,0,0,0,0,0,0,0
30,1,782184,915252,7,5,0,0,0,0,0
31,2,672156,869520,7.5,5,1,0,0,0,0
47,2,615636,932400,0,0,0,0,0,0,1
46,2,681756,905664,7.5,5,0,0,0,0,0
23,2,716556,814716,0,0,1,0,0,0,0
49,2,657108,802512,7.5,5,1,0,0,0,0
35,1,630036,820296,0,0,1,0,0,0,0
30,1,767184,921936,0,0,1,0,0,0,0
44,2,663108,880836,4,0,1,0,0,0,0
27,2,615636,829260,0,0,0,0,0,0,0
28,1,530388,765600,3,2,1,0,0,0,0
39,2,684156,791760,2,2,0,0,0,0,0
37,1,761364,983856,7.5,4,0,0,0,0,0
47,1,722148,942024,0,0,1,0,0,0,1
38,1,642036,768900,0,0,0,0,0,0,0
36,1,633336,759720,2,2,1,0,0,0,0
25,2,688356,999504,0,0,1,0,0,0,0
31,2,755364,918300,0,0,1,0,0,0,0
38,2,708156,862092,5,3,0,0,0,0,0
36,2,600096,777216,7.5,4,0,0,0,0,0
31,2,633636,847884,7,5,0,0,0,0,0
35,2,806028,966300,7.5,5,0,0,0,0,0
42,2,615636,830352,0,0,0,0,0,0,0
47,1,654228,794160,4,3,1,0,0,0,0
40,2,672156,815376,0,0,0,0,1,0,0
26,1,786000,1152960,0,0,1,0,0,0,0
47,2,437268,704220,7.5,3,1,0,0,0,0
30,2,648156,801732,0,0,0,0,0,0,0
45,1,758556,1032000,0,0,0,0,0,0,0
30,1,650748,929724,3,3,1,1,0,0,0
37,1,622836,793200,0,0,0,0,0,0,0
28,1,778428,948000,2,2,0,0,0,0,0
25,1,790584,1015800,2,2,0,0,0,0,0
28,2,802584,1197336,0,0,1,0,0,0,1
43,2,830028,1119600,7,5,1,0,0,0,0
25,2,592188,903540,0,0,0,0,0,0,0
42,2,761280,980400,4,3,1,0,0,0,0
26,2,571188,813240,2,0,0,0,0,0,0
37,1,501408,860364,0,0,0,0,0,0,0
47,2,692724,929352,3,0,0,0,0,0,0
35,2,379932,841488,0,0,0,0,0,0,0
40,1,534108,846000,2,2,0,0,0,0,0
39,2,606936,751392,2,0,1,0,0,0,0
45,1,696708,861144,7.5,5,1,0,0,0,0
32,1,770028,1017600,0,0,1,0,0,0,0
41,2,802584,970428,0,0,1,0,0,0,0
44,2,389808,795948,2,0,0,0,0,0,0
40,1,829620,1061028,6,5,0,0,0,0,0
27,1,529428,793500,2,2,0,0,0,0,0
41,1,714840,877800,4,3,0,0,0,0,0
41,2,717756,840000,4,3,1,0,0,0,0
26,2,741336,1131048,0,0,1,0,0,0,1
28,2,692556,837600,0,0,0,0,0,0,0
35,1,718956,923328,0,0,0,0,0,0,0
34,2,648036,857484,0,0,1,0,0,0,0
27,1,865476,1197336,0,0,0,0,0,0,0
33,2,825804,984000,2,2,1,0,0,0,0
36,2,455268,670836,0,0,1,0,0,0,0
26,2,686952,821460,2,2,0,0,0,0,0
31,2,610836,851148,0,0,1,0,0,0,0
46,2,651756,744324,0,0,0,0,0,0,0
49,1,768984,984000,4,4,0,0,0,0,0
27,2,814584,956676,3,3,0,0,0,0,1
30,2,527076,900060,4,4,0,1,0,0,0
34,2,651636,838776,0,0,1,0,0,0,0
45,2,556188,772164,7.5,2,1,0,0,0,0
32,1,529428,793500,0,0,0,0,0,0,0
29,1,696708,808212,0,0,0,0,0,0,0
44,2,619680,788916,0,0,1,0,1,0,0
43,2,910548,1024032,0,0,0,0,0,0,0
33,2,825804,1197336,2,0,0,0,0,0,0
35,1,596436,784080,3,3,0,0,0,0,0
35,2,473268,625080,2,0,1,0,0,0,0
26,1,928548,1197336,0,0,0,0,0,0,0
42,1,741564,864000,4,3,1,0,0,0,0
28,2,877476,1197336,0,0,0,0,0,0,0
33,1,600348,832404,0,0,0,0,0,0,0
36,2,713364,828000,4,3,0,0,0,0,0
